Date,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa
1/1/2012,1.8,-0.4,86,4,8,101.24
1/2/2012,0,-7,87,4,8,101.24
1/3/2012,-14.8,-22.2,89,7,4,101.26
1/4/2012,-10.2,-16.3,88,6,4,101.27
1/5/2012,-4.3,-12,88,7,4.8,101.23
1/6/2012,-11.5,-14.4,87,9,6.4,101.27
1/7/2012,-3.7,-6.1,89,7,6.4,101.29
1/8/2012,-6.6,-12.9,85,7,8,101.26
1/9/2012,-1,-5.1,85,9,8,101.23
1/10/2012,-1.4,-7.9,88,15,4,101.2
1/11/2012,-11.6,-19.9,91,9,1.2,101.15
1/12/2012,-5.2,-7.6,89,7,4,100.98
1/13/2012,-4.3,-6.5,88,9,4.8,100.79
1/14/2012,-16.7,-23.4,87,13,4.8,100.58
1/15/2012,-15.4,-22.8,87,20,4.8,100.31
1/16/2012,-8,-13.8,85,22,6.4,100.07
1/17/2012,-3.7,-6,82,13,12.9,99.93
1/18/2012,-10.4,-18,81,13,16.1,99.81
1/19/2012,-6.7,-15,82,15,12.9,99.74
1/20/2012,-15,-23.9,88,15,12.9,99.68
1/21/2012,-11.8,-18.9,87,19,25,99.5
1/22/2012,-8.7,-14.5,85,20,25,99.39
1/23/2012,2.7,-0.9,84,24,19.3,99.32
1/24/2012,1.9,-2.2,79,30,25,99.31
1/25/2012,-4.4,-11.2,77,35,25,99.26
1/26/2012,-3,-14.1,72,39,25,99.26
1/27/2012,0.3,-1.6,71,32,25,99.26
1/28/2012,1.2,-3.7,69,33,25,99.3
1/29/2012,0.2,-7.5,69,32,25,99.26
1/30/2012,-6.9,-15.3,70,32,25,99.21
1/31/2012,-8.2,-12,70,26,25,99.18
2/1/2012,-4.9,-7.5,70,33,25,99.14
2/2/2012,-6.7,-12.1,68,39,24.1,99.14
2/3/2012,-2.9,-7.8,67,44,24.1,99.14
2/4/2012,-5.4,-12.6,66,43,24.1,99.18
2/5/2012,-5.3,-11.4,66,30,24.1,99.19
2/6/2012,3.3,-3.3,56,48,24.1,99.21
2/7/2012,-4.8,-15.4,57,37,24.1,99.27
2/8/2012,-1.8,-12.8,56,33,24.1,99.33
2/9/2012,2.4,-6.2,59,33,24.1,99.41
2/10/2012,1.3,-4,55,24,24.1,99.5
2/11/2012,-10.8,-18.8,57,22,25,99.66
2/12/2012,-12.5,-22.8,57,28,25,99.86
2/13/2012,-3.4,-12.4,57,24,25,100
2/14/2012,1.1,-5.3,54,24,25,100.07
2/15/2012,1.9,0.1,58,26,25,100.15
2/16/2012,3.6,-2.8,54,20,25,100.26
2/17/2012,3,-4.4,59,17,19.3,100.27
2/18/2012,1.5,-5.8,57,28,25,100.35
2/19/2012,-1.6,-9.3,54,20,25,100.43
2/20/2012,-2,-9.7,65,22,12.9,100.53
2/21/2012,2.2,-5.8,54,33,25,100.61
2/22/2012,5.4,-1.4,53,24,25,100.68
2/23/2012,1.9,-1.8,60,22,25,100.76
2/24/2012,1,-2.6,61,19,25,100.85
2/25/2012,-3.3,-7.5,63,19,25,100.95
2/26/2012,-7.1,-16.3,58,26,24.1,101.07
2/27/2012,-5.1,-9.4,56,19,24.1,101.2
2/28/2012,-4.2,-11.8,56,24,24.1,101.29
2/29/2012,-3.1,-11.5,54,22,24.1,101.33
3/1/2012,-3.3,-6.2,52,20,24.1,101.34
3/2/2012,-3.3,-5.7,54,22,24.1,101.34
3/3/2012,5.3,-5.6,50,22,24.1,101.38
3/4/2012,-5.6,-13.5,53,19,24.1,101.44
3/5/2012,-10,-18.6,52,22,24.1,101.51
3/6/2012,-5.3,-15.7,53,22,24.1,101.58
3/7/2012,9.7,-2.7,52,24,25,101.64
3/8/2012,11.7,6.6,50,24,25,101.74
3/9/2012,-1.1,-7.9,49,24,25,101.82
3/10/2012,-2.7,-10.2,52,15,25,101.86
3/11/2012,10.5,-1.3,52,20,25,101.86
3/12/2012,12.4,0.6,55,17,25,101.87
3/13/2012,5.3,3.3,56,13,25,101.88
3/14/2012,1.7,1.3,58,11,25,101.86
3/15/2012,4,0.6,61,15,25,101.89
3/16/2012,3.7,3.2,59,13,25,101.88
3/17/2012,10.2,4.4,59,13,25,101.82
3/18/2012,22.2,10.4,62,9,25,101.77
3/19/2012,16.3,10,61,11,25,101.74
3/20/2012,22.5,12.3,60,11,25,101.75
3/21/2012,25.4,12,57,17,24.1,101.73
3/22/2012,21.4,12.8,61,9,24.1,101.68
3/23/2012,16.4,-6.8,63,7,24.1,101.54
3/24/2012,5.8,-9.8,56,13,24.1,101.41
3/25/2012,7.6,4.6,51,11,24.1,101.25
3/26/2012,1.4,-14.8,53,11,24.1,101.07
3/27/2012,2.1,-16.5,53,7,19.3,100.97
3/28/2012,2.5,0.6,61,11,9.7,100.89
3/29/2012,4.1,-3.5,61,13,19.3,100.79
3/30/2012,4.8,-8.9,71,9,4.8,100.76
3/31/2012,7.7,-8.6,75,11,9.7,100.69
4/1/2012,3.8,1.5,71,9,16.1,100.65
4/2/2012,7.9,-10,71,9,16.1,100.61
4/3/2012,10.9,-9,73,7,11.3,100.54
4/4/2012,8,-3.2,77,6,9.7,100.5
4/5/2012,7.6,-5.9,79,6,9.7,100.42
4/6/2012,9.3,-8.3,79,4,9.7,100.32
4/7/2012,8,-6.7,81,0,9.7,100.29
4/8/2012,12.3,-3.8,80,9,8,100.28
4/9/2012,8.6,0.7,81,11,9.7,100.24
4/10/2012,6.2,3.2,83,9,4.8,100.21
4/11/2012,7.5,3.1,82,4,4,100.19
4/12/2012,11.3,-1.4,82,6,6.4,100.26
4/13/2012,15.9,-4.9,82,9,9.7,100.31
4/14/2012,15.6,-3,79,11,9.7,100.39
4/15/2012,18.1,10.6,76,9,24.1,100.42
4/16/2012,27.4,11.5,73,17,48.3,100.45
4/17/2012,12.7,-0.5,70,22,48.3,100.41
4/18/2012,10.4,-3.2,69,20,48.3,100.38
4/19/2012,20.2,3.9,66,26,48.3,100.4
4/20/2012,9.5,3,65,22,48.3,100.46
4/21/2012,5.7,3.3,55,26,48.3,100.52
4/22/2012,6,-0.6,55,19,24.1,100.6
4/23/2012,5.7,2.4,56,11,25,100.65
4/24/2012,8.4,1.9,56,11,25,100.71
4/25/2012,7.7,0.5,61,7,25,100.8
4/26/2012,11.2,-0.6,62,9,25,100.83
4/27/2012,2.5,-5.1,63,13,25,100.83
4/28/2012,7.2,-10.5,63,7,25,100.85
4/29/2012,9,-12,61,9,25,100.83
4/30/2012,12.5,-4.2,56,13,25,100.81
5/1/2012,10.4,7.9,55,17,25,100.81
5/2/2012,14,9.1,61,9,25,100.84
5/3/2012,16.2,11,64,0,9.7,100.76
5/4/2012,16.9,13,68,15,3.2,100.7
5/5/2012,15.4,-1,71,19,2.8,100.61
5/6/2012,16.6,-3,71,22,4.8,100.58
5/7/2012,20.6,-2.3,85,22,2.4,100.52
5/8/2012,12,10,73,24,11.3,100.51
5/9/2012,19,11.4,71,26,19.3,100.53
5/10/2012,10.5,5.3,72,28,16.1,100.47
5/11/2012,17.1,-1.8,72,17,24.1,100.36
5/12/2012,23.9,6.9,74,28,19.3,100.23
5/13/2012,20,5.8,74,20,24.1,100.13
5/14/2012,23.2,9.2,75,19,19.3,100.07
5/15/2012,17.8,15.2,79,19,12.9,100.06
5/16/2012,19.3,10.4,78,19,19.3,100.1
5/17/2012,15.8,0.4,78,17,25,100.15
5/18/2012,20.8,1.7,78,17,19.3,100.12
5/19/2012,25.6,7.8,79,15,25,100.13
5/20/2012,30.9,10.7,80,11,25,100.15
5/21/2012,28.9,9,79,9,25,100.13
5/22/2012,21.5,16.2,79,11,19.3,100.16
5/23/2012,21.6,13.5,79,7,16.1,100.15
5/24/2012,28.1,17.7,79,6,16.1,100.13
5/25/2012,27.1,17.1,80,0,19.3,100.11
5/26/2012,23.2,10.2,79,4,19.3,100.15
5/27/2012,20.3,5.1,79,4,19.3,100.12
5/28/2012,17.5,6.6,79,6,19.3,100.1
5/29/2012,26.8,19,80,4,19.3,100.12
5/30/2012,23.5,8.6,80,7,16.1,100.12
5/31/2012,18.1,5.8,81,7,16.1,100.16
6/1/2012,19.8,4.9,82,9,8,100.1
6/2/2012,13.9,10.9,82,7,9.7,100.15
6/3/2012,18.5,10.4,84,7,8,100.13
6/4/2012,15.8,7.2,84,9,9.7,100.08
6/5/2012,21.9,4.4,84,13,9.7,100.05
6/6/2012,20.3,9.3,83,15,9.7,100.07
6/7/2012,22.3,9.3,83,6,8,100.09
6/8/2012,19.4,12.8,83,11,8,100.09
6/9/2012,23.8,5.6,84,0,8,100.15
6/10/2012,26.5,9.2,84,13,8,100.27
6/11/2012,30.1,18.4,85,6,9.7,100.33
6/12/2012,19.1,17.3,86,6,8,100.41
6/13/2012,21.9,10.7,87,4,9.7,100.48
6/14/2012,22.9,6.7,88,0,6.4,100.5
6/15/2012,24.9,5.7,89,4,4,100.54
6/16/2012,26,13.6,87,22,9.7,100.62
6/17/2012,27,16.8,76,32,25,100.72
6/18/2012,25.8,13.4,74,32,25,100.8
6/19/2012,28.1,19.2,71,30,25,100.98
6/20/2012,32.2,19.6,69,32,25,101.13
6/21/2012,33,19,69,22,25,101.21
6/22/2012,29,13.8,70,13,25,101.33
6/23/2012,26.4,5.7,68,13,25,101.47
6/24/2012,26.7,8.9,69,11,25,101.59
6/25/2012,18.8,10.8,69,11,24.1,101.7
6/26/2012,16.6,11.4,65,17,24.1,101.81
6/27/2012,19.6,15.1,67,17,9.7,101.89
6/28/2012,27,14.8,65,22,24.1,101.92
6/29/2012,30.7,14.6,66,15,24.1,101.9
6/30/2012,28.8,13.2,63,15,24.1,101.94
7/1/2012,24.7,14,65,19,24.1,101.97
7/2/2012,28.3,12.3,61,20,48.3,102.04
7/3/2012,26.9,12.3,59,20,24.1,102.09
7/4/2012,28.4,19.9,59,17,25,102.17
7/5/2012,24.3,16.7,62,17,25,102.23
7/6/2012,29.6,19.7,62,15,25,102.26
7/7/2012,28.9,16.4,65,15,25,102.28
7/8/2012,24.3,8.5,64,11,25,102.26
7/9/2012,24.4,5.3,65,7,25,102.22
7/10/2012,26.5,11.2,68,7,25,102.22
7/11/2012,27.8,8.9,66,6,25,102.17
7/12/2012,30.6,12.9,68,0,25,102.13
7/13/2012,31.9,12.3,66,4,25,102.15
7/14/2012,33,16.8,70,0,25,102.11
7/15/2012,22.7,20.9,69,9,25,102.02
7/16/2012,28.6,20,71,11,25,101.93
7/17/2012,25.8,22,72,11,25,101.86
7/18/2012,24,10.1,72,15,25,101.8
7/19/2012,22.9,9,70,13,16.1,101.74
7/20/2012,24.2,9.9,75,11,12.9,101.68
7/21/2012,26.3,12.3,76,9,16.1,101.64
7/22/2012,30.1,19.2,77,7,24.1,101.54
7/23/2012,30.1,19.4,73,9,24.1,101.4
7/24/2012,23,10.4,74,7,24.1,101.27
7/25/2012,24.8,13.6,76,7,24.1,101.2
7/26/2012,21.3,16.7,74,9,24.1,101.13
7/27/2012,26.1,17,72,11,24.1,101.05
7/28/2012,26.7,11.2,72,15,24.1,100.96
7/29/2012,27.8,17.7,71,20,25,100.9
7/30/2012,29,13.5,70,19,25,100.83
7/31/2012,28.8,18.4,70,15,25,100.77
8/1/2012,27.3,18.6,71,11,25,100.64
8/2/2012,29.8,18.9,64,19,25,100.54
8/3/2012,29.2,16.7,64,17,25,100.45
8/4/2012,32.8,18.8,57,30,25,100.38
8/5/2012,29,24.4,66,35,25,100.28
8/6/2012,22.6,13.8,75,19,6.4,100.23
8/7/2012,28.7,13.6,77,28,25,100.16
8/8/2012,28.3,14.7,81,26,25,100.07
8/9/2012,23.7,17,86,30,9.7,100.02
8/10/2012,21,19.5,87,30,8,100.04
8/11/2012,27.5,19.9,85,20,8,100.08
8/12/2012,26.2,16.9,85,24,16.1,100.11
8/13/2012,25.4,17.4,84,17,19.3,100.23
8/14/2012,25.7,18.4,81,24,24.1,100.27
8/15/2012,25.7,17.8,77,22,24.1,100.29
8/16/2012,26.9,15.6,72,30,24.1,100.32
8/17/2012,24.9,15.8,64,26,24.1,100.36
8/18/2012,22,9.3,64,26,24.1,100.45
8/19/2012,23.5,11.3,61,30,24.1,100.65
8/20/2012,24.6,10.5,55,30,24.1,100.81
8/21/2012,23.4,11.4,54,17,24.1,100.91
8/22/2012,25.7,10.9,54,15,25,101.04
8/23/2012,25.8,16.2,53,15,25,101.15
8/24/2012,27.7,12.5,53,13,25,101.24
8/25/2012,31.1,15.2,57,9,25,101.32
8/26/2012,30.1,15.7,55,13,25,101.34
8/27/2012,26,18.2,57,19,25,101.44
8/28/2012,23.2,8.8,55,17,25,101.43
8/29/2012,24.2,8,56,17,25,101.49
8/30/2012,28.5,17,56,19,25,101.57
8/31/2012,25.6,18.6,57,19,25,101.64
9/1/2012,24.3,7.3,57,17,25,101.66
9/2/2012,25.6,6.5,55,19,25,101.66
9/3/2012,27.8,10.5,57,20,25,101.72
9/4/2012,24.1,17.8,57,13,25,101.77
9/5/2012,26.2,17.6,57,15,24.1,101.8
9/6/2012,28.2,18.4,58,15,24.1,101.81
9/7/2012,25.1,10.5,55,11,19.3,101.89
9/8/2012,24.4,20.2,54,15,24.1,101.78
9/9/2012,17.6,8.9,53,17,24.1,101.68
9/10/2012,17.8,5.9,52,19,24.1,101.63
9/11/2012,21.3,8.4,52,20,24.1,101.56
9/12/2012,27.3,13.4,50,20,24.1,101.61
9/13/2012,28.2,13.9,47,20,24.1,101.6
9/14/2012,26.3,16.4,51,26,24.1,101.56
9/15/2012,14.2,11.4,52,24,25,101.51
9/16/2012,16.7,3.6,54,30,25,101.43
9/17/2012,25.2,10.8,57,24,25,101.4
9/18/2012,18.1,17,65,19,25,101.32
9/19/2012,14.3,0.9,65,22,25,101.29
9/20/2012,19.1,7.5,67,20,25,101.19
9/21/2012,19.3,13.9,66,19,25,101.17
9/22/2012,16.1,15,65,24,25,101.13
9/23/2012,15.1,4.6,64,26,25,101.08
9/24/2012,16.3,3.6,63,33,25,101.02
9/25/2012,19,10.2,64,22,25,100.93
9/26/2012,17.6,15.6,64,30,25,100.81
9/27/2012,15.1,4.7,65,28,25,100.76
9/28/2012,15.6,9.6,65,28,16.1,100.69
9/29/2012,11.6,10.1,72,33,6.4,100.61
9/30/2012,11.6,10.9,75,33,3.2,100.54
10/1/2012,15.2,11.5,77,35,4.8,100.46
10/2/2012,18.8,11.5,76,32,2,100.35
10/3/2012,19.3,13.9,79,32,4.8,100.22
10/4/2012,15.9,14.7,81,33,1.2,100.09
10/5/2012,20.7,15.4,81,28,1.2,99.97
10/6/2012,14.4,8.8,83,26,0.8,99.9
10/7/2012,10.5,0.3,83,33,0.6,99.88
10/8/2012,11.9,0.3,83,33,1,99.83
10/9/2012,15,4.6,81,35,1.2,99.76
10/10/2012,13.2,11.2,82,30,4,99.72
10/11/2012,9.8,-2.9,81,28,6.4,99.64
10/12/2012,6.4,-5.4,80,24,6.4,99.56
10/13/2012,9.4,-2.1,81,26,25,99.47
10/14/2012,7,6.6,83,28,3.2,99.4
10/15/2012,16.2,9,83,28,2.4,99.3
10/16/2012,8.4,0.7,81,24,4.8,99.24
10/17/2012,12.5,2.9,81,22,25,99.22
10/18/2012,18.6,3.6,83,19,4.8,99.19
10/19/2012,13.3,12.1,83,24,11.3,99.13
10/20/2012,16.4,8.8,82,20,12.9,99.06
10/21/2012,12.2,5.7,83,22,16.1,98.94
10/22/2012,14.6,5,82,22,16.1,98.84
10/23/2012,12.3,4.3,83,26,8,98.69
10/24/2012,12.2,-2.1,84,32,4.8,98.56
10/25/2012,13.5,3.5,83,26,12.9,98.44
10/26/2012,20.4,13.1,83,28,9.7,98.22
10/27/2012,14.6,9.5,81,24,2,98.07
10/28/2012,13.1,6,83,20,1.2,97.99
10/29/2012,16.6,9.6,85,6,2,98.07
10/30/2012,20.9,11.8,85,13,8,98.1
10/31/2012,10.2,8.6,84,11,6.4,98.16
11/1/2012,7.7,6,87,15,1.6,98.23
11/2/2012,4.8,3.4,89,26,16.1,98.32
11/3/2012,5.4,2.7,86,33,2,98.6
11/4/2012,3.6,-3.9,87,32,2,98.89
11/5/2012,1.8,-7.6,79,37,4.8,99.09
11/6/2012,2.6,-7.7,70,32,12.9,99.28
11/7/2012,1.8,-7.8,75,35,9.7,99.51
11/8/2012,5.2,-3.3,72,39,9.7,99.67
11/9/2012,4.6,-2,69,24,12.9,99.85
11/10/2012,5.2,-6.9,70,28,9.7,100.01
11/11/2012,7,1.9,71,24,8,100.16
11/12/2012,17,8.4,63,20,16.1,100.26
11/13/2012,5.4,-2.9,63,24,25,100.39
11/14/2012,4.6,-7.4,63,24,25,100.6
11/15/2012,2.4,-5.8,63,26,25,100.73
11/16/2012,5.5,-1.9,62,20,24.1,100.84
11/17/2012,2.4,-7.4,61,19,24.1,100.97
11/18/2012,4.5,-11.9,60,22,24.1,101.08
11/19/2012,6.2,-1.2,59,20,24.1,101.14
11/20/2012,5.9,-1.5,58,20,48.3,101.16
11/21/2012,8.2,-2.1,55,17,48.3,101.18
11/22/2012,10.7,-1.2,56,17,48.3,101.2
11/23/2012,10.4,2.5,56,22,48.3,101.24
11/24/2012,0.7,-6.4,52,19,24.1,101.3
11/25/2012,-1.8,-10.9,54,13,25,101.36
11/26/2012,-0.9,-9.9,56,20,25,101.46
11/27/2012,0.4,-6.8,59,17,25,101.56
11/28/2012,0,-0.8,58,13,25,101.62
11/29/2012,-1.2,-4.6,59,11,25,101.65
11/30/2012,-8.8,-15.8,58,13,25,101.74
12/1/2012,-8.3,-13.5,59,9,25,101.79
12/2/2012,5.6,4.9,61,11,25,101.81
12/3/2012,4,1,61,9,25,101.86
12/4/2012,11,7.9,63,9,25,101.99
12/5/2012,0.1,-7.6,62,4,25,102.04
12/6/2012,-1.2,-7.9,61,0,25,102.12
12/7/2012,3.9,-3.3,63,6,25,102.19
12/8/2012,2,1,62,7,25,102.28
12/9/2012,-1.9,-4.9,62,9,25,102.37
12/10/2012,0,-0.5,62,7,24.1,102.45
12/11/2012,-5.7,-11.5,60,9,48.3,102.57
12/12/2012,-3.2,-6.7,58,9,48.3,102.66
12/13/2012,2.1,-1.9,55,9,48.3,102.68
12/14/2012,3,-1,52,13,48.3,102.67
12/15/2012,-7.8,-13.7,53,20,48.3,102.65
12/16/2012,-7.6,-9.4,53,26,48.3,102.66
12/17/2012,0.9,0.2,53,24,48.3,102.71
12/18/2012,1.1,0.2,52,24,48.3,102.79
12/19/2012,1.3,-0.1,55,15,25,102.85
12/20/2012,-0.5,-3.8,57,17,25,102.89
12/21/2012,1.8,0.2,58,20,25,102.94
12/22/2012,-5.4,-7.1,61,17,25,102.98
12/23/2012,-6.8,-11.1,63,15,25,103.02
12/24/2012,-7.5,-13.3,66,17,25,103.07
12/25/2012,-7.1,-13.7,68,15,25,103.09
12/26/2012,-10,-14.2,66,15,25,103.09
12/27/2012,-5,-6.2,65,6,25,103.05
12/28/2012,-6.8,-10.3,68,6,25,103.08
12/29/2012,-8.8,-10,67,6,25,103.07
12/30/2012,-11.3,-15.6,66,0,25,103.05
12/31/2012,-2.3,-4.6,69,0,25,103.02
